-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-36-06.txt
-----------------------------------
[11:36:12.174] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1663, Hor_Cur=426} 
[11:36:12.274] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1665, Hor_Cur=423} 
[11:36:12.375] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1667, Hor_Cur=422} 
[11:36:12.474] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=423} 
[11:36:12.575] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=421} 
[11:36:12.674] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=422} 
[11:36:12.775] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1675, Hor_Cur=426} 
[11:36:12.874] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1672, Hor_Cur=426} 
[11:36:12.975] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1670, Hor_Cur=426} 
[11:36:13.074] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1660, Hor_Cur=424} 
[11:36:13.153] [LOG]current:20, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:13.175] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=435} 
[11:36:13.275] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=429} 
[11:36:13.374] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1671, Hor_Cur=424} 
[11:36:13.475] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1669, Hor_Cur=426} 
[11:36:13.575] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=424} 
[11:36:13.675] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1667, Hor_Cur=419} 
[11:36:13.775] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1665, Hor_Cur=429} 
[11:36:13.875] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1668, Hor_Cur=425} 
[11:36:13.975] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1676, Hor_Cur=424} 
[11:36:14.075] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1666, Hor_Cur=422} 
[11:36:14.170] [LOG]current:10, voltage:29390, soc:97, status:discharge, hor_cnt:0, ver_cnt:0
[11:36:14.175] {Hor_act_Vel=0.000, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1674, Hor_Cur=441} 
[11:36:14.275] {Hor_act_Vel=-3.986, Hor_act_Pos=97.745, Ver_act_Vel=0.000, Ver_act_Pos=-0.131, Ver_Cur=1673, Hor_Cur=1185} 
