-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_11-09-04.txt
-----------------------------------
[11:09:10.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=420.237, Ver_Cur=1923, Hor_Cur=141} 
[11:09:10.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-98.125, Ver_act_Pos=410.424, Ver_Cur=2107, Hor_Cur=143} 
[11:09:10.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-99.760, Ver_act_Pos=400.546, Ver_Cur=2103, Hor_Cur=142} 
[11:09:10.965] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-81.771, Ver_act_Pos=391.519, Ver_Cur=2335, Hor_Cur=140} 
[11:09:11.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-103.031, Ver_act_Pos=381.314, Ver_Cur=1940, Hor_Cur=143} 
[11:09:11.164] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-91.583, Ver_act_Pos=371.828, Ver_Cur=1952, Hor_Cur=143} 
[11:09:11.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-93.219, Ver_act_Pos=362.343, Ver_Cur=1959, Hor_Cur=140} 
[11:09:11.364] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=352.923, Ver_Cur=2151, Hor_Cur=138} 
[11:09:11.443] [LOG]current:80, voltage:29340, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:11.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-101.396, Ver_act_Pos=343.307, Ver_Cur=2285, Hor_Cur=145} 
[11:09:11.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-101.396, Ver_act_Pos=333.167, Ver_Cur=2501, Hor_Cur=139} 
[11:09:11.665] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-107.938, Ver_act_Pos=322.831, Ver_Cur=2544, Hor_Cur=139} 
[11:09:11.765] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-107.938, Ver_act_Pos=311.907, Ver_Cur=2735, Hor_Cur=138} 
[11:09:11.864] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-103.031, Ver_act_Pos=301.440, Ver_Cur=2780, Hor_Cur=144} 
[11:09:11.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-99.760, Ver_act_Pos=291.366, Ver_Cur=2643, Hor_Cur=137} 
[11:09:12.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-99.760, Ver_act_Pos=281.422, Ver_Cur=2351, Hor_Cur=141} 
[11:09:12.165] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-98.125, Ver_act_Pos=271.545, Ver_Cur=2069, Hor_Cur=144} 
[11:09:12.264] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-99.760, Ver_act_Pos=261.536, Ver_Cur=2125, Hor_Cur=142} 
[11:09:12.364] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-101.396, Ver_act_Pos=251.396, Ver_Cur=2196, Hor_Cur=140} 
[11:09:12.459] [LOG]current:20, voltage:29340, soc:97, status:discharge, hor_cnt:0, ver_cnt:1758
[11:09:12.464] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-107.938, Ver_act_Pos=240.930, Ver_Cur=2002, Hor_Cur=142} 
[11:09:12.564] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-107.938, Ver_act_Pos=230.005, Ver_Cur=1903, Hor_Cur=140} 
[11:09:12.664] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-104.667, Ver_act_Pos=219.408, Ver_Cur=2025, Hor_Cur=143} 
[11:09:12.764] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-99.760, Ver_act_Pos=209.268, Ver_Cur=1990, Hor_Cur=146} 
[11:09:12.865] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-96.490, Ver_act_Pos=199.390, Ver_Cur=2056, Hor_Cur=137} 
[11:09:12.964] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-98.125, Ver_act_Pos=189.512, Ver_Cur=2402, Hor_Cur=135} 
[11:09:13.064] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-99.760, Ver_act_Pos=179.569, Ver_Cur=2334, Hor_Cur=141} 
[11:09:13.164] {Hor_act_Vel=0.000, Hor_act_Pos=-0.478, Ver_act_Vel=-106.302, Ver_act_Pos=169.429, Ver_Cur=2275, Hor_Cur=140} 
