-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-06-13_13-21-21.txt
-----------------------------------
[13:21:27.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=83.406, Ver_act_Pos=119.255, Ver_Cur=1236, Hor_Cur=0} 
[13:21:27.329] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=49.062, Ver_act_Pos=124.619, Ver_Cur=1224, Hor_Cur=0} 
[13:21:27.430] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=75.229, Ver_act_Pos=130.441, Ver_Cur=1160, Hor_Cur=0} 
[13:21:27.530] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=135.085, Ver_Cur=1101, Hor_Cur=0} 
[13:21:27.630] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=135.936, Ver_Cur=1027, Hor_Cur=0} 
[13:21:27.729] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=135.936, Ver_Cur=1053, Hor_Cur=0} 
[13:21:27.829] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=135.936, Ver_Cur=1221, Hor_Cur=0} 
[13:21:27.897] [LOG]current:150, voltage:29330, soc:99, status:discharge, hor_cnt:0, ver_cnt:0
[13:21:27.929] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=135.936, Ver_Cur=1021, Hor_Cur=0} 
[13:21:28.030] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=1.635, Ver_act_Pos=136.459, Ver_Cur=1264, Hor_Cur=0} 
[13:21:28.130] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.525, Ver_Cur=973, Hor_Cur=0} 
[13:21:28.230] {Hor_act_Vel=0.000, Hor_act_Pos=0.159, Ver_act_Vel=0.000, Ver_act_Pos=136.525, Ver_Cur=1534, Hor_Cur=0} 
